page_name,url,page_type,primary_topic,primary_cta,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8,in_1,in_2,in_3,in_4,in_5
/commercial-service-agreements,/commercial-service-agreements,Service,Service,Request service,/maintenance-plans,/commercial-maintenance,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/services,/maintenance-plans,/commercial-maintenance,/resources/calculators,/service-areas
Tools Hub,/resources/calculators,Tools Hub,Tools Hub,Use tool,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/resources/calculators/hvac-load,/resources/calculators/asset-lifecycle,/maintenance-plans,/commercial-maintenance,/inspection-repairs,/,/maintenance-plans,/commercial-maintenance,/resources,/services
Home maintenance estimator,/resources/home-maintenance-estimator,Tool,Home maintenance estimator,Estimate,/maintenance-plans,/commercial-maintenance,/inspection-repairs,/resources/calculators,/service-areas/harney-county,/service-areas/mid-willamette-valley,/contact,,/resources/calculators,/maintenance-plans,/commercial-maintenance,/resources,/services
/resources/home-maintenance-recordbook,/resources/home-maintenance-recordbook,Resource,General,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
/resources/home-restoration-resource-guide,/resources/home-restoration-resource-guide,Resource,General,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
/resources/bathroom-remodel-roi,/resources/bathroom-remodel-roi,Resource,General,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
/resources/kitchen-remodel-roi,/resources/kitchen-remodel-roi,Resource,General,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
/resources/water-damage-restoration-guide,/resources/water-damage-restoration-guide,Resource,General,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
/resources/ada-aging-in-place-guide,/resources/ada-aging-in-place-guide,Resource,General,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
Annual Home Maintenance Budget: What to Plan For,/resources/guides/annual-home-maintenance-budget,Guide,Annual Home Maintenance Budget: What to Plan For,Plan next step,/inspection-repairs,/maintenance-plans,/resources/calculators,/resources/home-maintenance-estimator,/service-areas/harney-county,/service-areas/mid-willamette-valley,,,/resources,/resources/calculators,/maintenance-plans,/services,/blog
